CODEBUCH,,
"Im Codebuch definieren Sie, wie und nach welchen Kriterien erfasst werden.",,
Achtung: das Codebuch wird immer als eigene Datei in Github gesetzt. Beispiel siehe hier.,,
Wert,Kommentar,
edgelist,Grundregel: Die Edgelist darf pro Spalte immer nur einen Wert enthalten. Bis auf die ID idealerweise numerisch codiert (als Zahl).,Notiz: Initialien mit letzten 2 Jahren der Geburstzaheln z.B. OD97
from,Definiert den Sender. Entspricht dem Spieler / der Spielerin codiert mit den Initialien und den letzten zwei Zahlen des Gebusrtsjahrs ,
,Beispiel: Ousmane Dembélé = OD97,
to ,Definiert den Empfänger. Entspricht den Vereinen codiert mit einer jeweiligen Abkürzung des Vereins.,
,Paris Saint-Germain = PSG,
,Stade Rennes = STRE,
,FC Barcelona = FCBC,
,FC Porto = FCP,
,FC Liverpool = FCL,
,FC Basel = FCBA,
,Vitória Guimarães SC = VGSC,
,FC Arsenal = FCA,
,FC Chelsea = FCC,
,Espanyol Barcelona = EB,
,Manchester City = MC,
,CR Flamengo = CRF,
,Bayer 04 Leverkusen = BL,
,Stabæk FK = SFK,
,Bryne FK = BFK,
,KRC Genk = KRCG,
,Villarreal CF= VCF,
,Olympique Lyon = OL,
,Jitex BK = JBK,
,Manchester United = MU,
,Perth Glory FC = PGFC,
,Nottingham Forest = NF,
,KS Delta Warszawa = KSDW,
,FC Metz = FCM,
,Vfl Wolfsburg = VLW,
,SGS Essen = SGSE,
,US Boulogne = USB,
,Hellas Verona = HEVE,
,SC Heerenveen = SCH,
,FC Groningen = FCG,
,Juventus Turin = JUV,
,Sporting Lissabon = SPL,
,Atlético Madrid = AM,
,Reign FC = RFC,
,Chicago Red Stars = CRS,
,Orlando Pride = OP,
,Real Sociedad San Sebastian = RSSS,
,NK Zadar = NKZ,
,IK Skovbakken = IKS,
,1. FC Saarbrücken = FCSA,
,AC Parma = ACP,
,Real Madrid = RM,
,Club Nacional Montevideo = CNM,
,FC Schalke 04 = FCS04,
,PSV Eindhoven = PSVE,
,FCS = FC Santos,
,Malmö FF = MFF,
,CA River Plate = CARP,
,FC Everton = FCE,
,Ajax Amsterdam = AA,
,Inter Mailand = IM,
,AC Mailand = ACM,
,Le Mans FC = LMFC,
,Girondins Bordeaux = GIB,
,West Ham United = WHU,
,Dynamo Kyiv = DYKY,
,Benfica Lissabon = BEN,
,AO Kavala = AOK,
,AEK Athen = AEKA,
,AC Sparta Praha = ACSP,
,Karlsruher SC = KSC,
,Palmeiras São Paulo = PSP,
,Chemnitzer FC = CFC,
,AS Rom = ASR,
,Lazio Rom = LR,
,,
relation,Definiert den Beziehungstyp zwischen Spieler / Spielerin und Verein. ,
,played_at = Verein zum Zeitpunkt der Nominierung,
rank,trained_at = erster Profivertrag,
,"Definiert den Ballon d'Or-Rang von 1 bis 5. Nur relevant für ""played_at"". ",
,1. platz = 1,
,2. patz = 2,
,3. platz = 3,
,4. platz = 4,
weight,5. platz = 5,
,"Definiert die Gewichtung der Ballon d'Or-Platzierung. Nur relevant für ""played_at"". ",
,platz 1 = 100,
,platz 2 = 50,
,platz 3 = 30,
,platz 4 = 20,
year,platz 5 = 10,Notiz: Frauen erst ab dem Jahr  2018 
,"Definiert das Ballon d’Or-Jahr der Nominierung. Nur relevant für ""played_at"".",
nodelist,Abkürzung Ballon d'Or und Jahr der Nominierung = bdo2025,
id,Grundregel: die IDs der Nodelist müssen mit den IDs der Edgelist komplett übereinstimmen. Ausprägungen der Attribute in der Regel numerisch definieren.,
name ,Definiert Name oder Bezeichnung des Knotens. Entspricht den ersten 2 Initialien des Spielers / der Spielerin und den letzten 2 Zahlen des Geburstsjahrs oder allgemeine Abgkürzung des Vereins ,
,"Entspricht ausgeschrieben dem Name des Spielers / der Spielerin oder des Verein mit Sonderzeichen, eindeutige Identifikation jedes einzelnen Knotens.",
sex,"Beispiele: Ousmane Dembélé, Vitória Guimarães SC",
,Definiert das Geschlecht des Spielers / der Spielerin.,
,male = 1,
nationality,female = 2,
,Definiert die zugehörige Nationalität des Spielers/Spielerin oder des Vereins,
,DE = Deutschland ,
,ES = Spanien,
,IT = Italien,
,FR = Frankreich,
,BRA= Brasilien,
,EGY = Ägypten,
,GB = Vereinigtes Königreich,
,PT = Portugal,
,SUI = Schweiz,
,ARG = Argentinien,
,NOR = Norwegen,
,MON = Monaco,
,BE = Belgien,
,AUS = Australien,
,SWE = Schweden,
,SE = Senegal,
,PL = Polen,
,NL = Niederlande,
,USA = Amerika,
,CRO = Kroatien ,
,URG = Uruguay,
,DEN = Dänemark,
,COL = Columbien,
,KA = Kamerun,
,IVO = Elfenbeinküste,
,UKR = Ukraine,
,GR = Griechenland,
,CZ = Tschechien,
type,Definiert die Art des Knotens,
,Spieler / Spielerin = 1,
,Verein (club) = 2,
NA,,
,"definiert fehlende Werte, bei der Datenerhebung das Feld einfach leer lassen, R rechnet NAs (missing values) automatisch raus..",
